layer,neuron,drop_frac,doc_token_id,doc_id
23,1023,0.012,32283,-7171870530802929805
23,927,0.011,33165,5063826662212255582
23,33,0.011,32743,-6303098876249509984
23,529,0.01,33728,-4239091644991703708
22,575,0.009,34516,4331386215099443862
23,604,0.009,32265,5198820676916841630
22,975,0.008,32186,4993056803981019151
22,717,0.008,33728,-4239091644991703708
22,499,0.008,32186,4993056803981019151
22,492,0.008,32186,4993056803981019151
23,581,0.008,33043,5901585479169512635
23,241,0.008,34516,4331386215099443862
22,581,0.008,33165,5063826662212255582
23,339,0.008,36760,7599138153329731760
22,238,0.008,34991,-1969731063084329160
22,1023,0.007,36894,639782364660780089
22,771,0.007,32186,4993056803981019151
23,497,0.007,34516,4331386215099443862
22,807,0.007,32186,4993056803981019151
23,22,0.007,33165,5063826662212255582
