layer,neuron_id,top_doc_token_id,top_doc_freq,top_doc_frac,doc_entropy
18,15,40945,52,0.02,3.912023005428145
18,33,40767,40,0.02,3.912023005428145
18,46,35024,95,0.02,3.912023005428145
18,71,39361,83,0.02,3.912023005428145
18,83,32121,91,0.02,3.912023005428145
18,106,32124,11,0.02,3.912023005428145
18,155,38736,48,0.02,3.912023005428145
18,184,40226,61,0.02,3.912023005428145
18,186,33551,70,0.02,3.912023005428145
18,197,35162,86,0.02,3.912023005428145
19,80,41623,24,0.02,3.912023005428145
19,99,34175,16,0.02,3.912023005428145
19,465,32102,58,0.02,3.912023005428145
19,543,37100,33,0.02,3.912023005428145
19,649,32117,28,0.02,3.912023005428145
19,1214,36920,35,0.02,3.912023005428145
19,1302,42030,22,0.02,3.912023005428145
19,1444,40575,30,0.02,3.912023005428145
19,1478,33514,45,0.02,3.912023005428145
19,1619,41114,22,0.02,3.912023005428145
20,3,41701,33,0.02,3.912023005428145
20,33,40607,35,0.02,3.912023005428145
20,130,38482,28,0.02,3.912023005428145
20,684,32103,33,0.02,3.912023005428145
20,808,32593,26,0.02,3.912023005428145
20,819,32114,32,0.02,3.912023005428145
20,834,32104,22,0.02,3.912023005428145
20,884,38400,27,0.02,3.912023005428145
20,1096,41256,18,0.02,3.912023005428145
20,1203,32127,36,0.02,3.912023005428145
21,42,38737,43,0.02,3.912023005428145
21,97,32120,22,0.02,3.912023005428145
21,250,33095,19,0.02,3.912023005428145
21,325,39373,22,0.02,3.912023005428145
21,446,33728,18,0.02,3.912023005428145
21,518,36886,21,0.02,3.912023005428145
21,576,35932,40,0.02,3.912023005428145
21,658,33945,34,0.02,3.912023005428145
21,1087,36736,29,0.02,3.912023005428145
21,1176,39317,28,0.02,3.912023005428145
22,168,36944,22,0.02,3.912023005428145
22,182,34833,15,0.02,3.912023005428145
22,230,33312,21,0.02,3.912023005428145
22,273,32122,24,0.02,3.912023005428145
22,434,32103,34,0.02,3.912023005428145
22,608,33755,33,0.02,3.912023005428145
22,737,41743,27,0.02,3.912023005428145
22,740,38486,26,0.02,3.912023005428145
22,759,32123,35,0.02,3.912023005428145
22,977,37412,37,0.02,3.912023005428145
23,827,37161,2,0.05,2.995732273553991
23,1641,40507,4,0.05,2.995732273553991
23,37,32119,27,0.02,3.912023005428145
23,314,38904,18,0.02,3.912023005428145
23,365,33001,15,0.02,3.912023005428145
23,382,36427,15,0.02,3.912023005428145
23,449,39622,12,0.02,3.912023005428145
23,652,33850,16,0.02,3.912023005428145
23,858,41687,13,0.02,3.912023005428145
23,933,35736,12,0.02,3.912023005428145
